year,partner_code,partner,exports,imports,trade_volume,balance,basis
2023,132,Cabo Verde,0,9573,9573,-9573,direct
2023,132,Cabo Verde,69836,0,69836,69836,mirror
2023,508,Moçambique,13240,200668,213908,-187428,direct
2023,508,Moçambique,72000,0,72000,72000,mirror
2023,620,Portugal,10773,39194481,39205254,-39183708,direct
2023,620,Portugal,465573,26268895,26734468,-25803322,mirror
2023,624,Guiné-Bissau,0,7194,7194,-7194,direct
2023,626,Timor-Leste,0,205045,205045,-205045,direct
2023,626,Timor-Leste,77477,151956,229433,-74479,mirror
2024,24,Angola,0,197081,197081,-197081,direct
2024,24,Angola,1324757,0,1324757,1324757,mirror
2024,76,Brasil,119884,132873468,132993352,-132753584,direct
2024,76,Brasil,1572734,1926604,3499338,-353870,mirror
2024,508,Moçambique,0,1509051,1509051,-1509051,direct
2024,508,Moçambique,365438,0,365438,365438,mirror
2024,620,Portugal,13134,37632900,37646034,-37619766,direct
2024,620,Portugal,433292,22842379,23275671,-22409087,mirror
2024,624,Guiné-Bissau,0,473,473,-473,direct
